experiment,variant,phase,runner,runner_code,parent_variant,created_at,started_at,completed_at,queue_seconds,execution_seconds,total_seconds,status
4,v4_4106,f04_targets,Local,1,v3_4103,2026-06-16T21:46:17.611105+00:00,,2026-06-16T21:49:09.344292+00:00,,,171,failed
4,v4_4105,f04_targets,Local,1,v3_4103,2026-06-16T21:46:03.260885+00:00,2026-06-16T21:49:13.078649+00:00,2026-06-16T21:49:22.016932+00:00,189,8,198,canceled
4,v1_4301,f01_explore,GithubActions,2,,2026-06-16T21:51:11.784614+00:00,2026-06-16T21:51:21.609963+00:00,2026-06-16T21:54:20.596083+00:00,9,178,188,success
4,v2_4301,f02_events,GithubActions,2,v1_4301,2026-06-16T21:51:12.122375+00:00,2026-06-16T21:54:52.999935+00:00,2026-06-16T21:58:21.254244+00:00,220,208,429,success
4,v2_4302,f02_events,GithubActions,2,v1_4301,2026-06-16T21:51:12.394382+00:00,2026-06-16T21:54:52.970020+00:00,2026-06-16T21:58:31.761554+00:00,220,218,439,success
4,v3_4301,f03_windows,GithubActions,2,v2_4301,2026-06-16T21:51:12.668695+00:00,2026-06-16T21:57:53.228555+00:00,2026-06-16T22:00:06.342985+00:00,400,133,533,success
4,v3_4302,f03_windows,GithubActions,2,v2_4301,2026-06-16T21:51:12.945379+00:00,2026-06-16T21:57:53.198749+00:00,2026-06-16T22:00:06.519043+00:00,400,133,533,success
4,v4_4301,f04_targets,GithubActions,2,v3_4301,2026-06-16T21:51:13.809597+00:00,2026-06-16T22:00:24.141689+00:00,2026-06-16T22:02:34.517529+00:00,550,130,680,success
4,v4_4302,f04_targets,GithubActions,2,v3_4302,2026-06-16T21:51:14.087878+00:00,2026-06-16T22:00:24.686863+00:00,2026-06-16T22:02:34.635837+00:00,550,129,680,success
4,v4_4303,f04_targets,GithubActions,2,v3_4302,2026-06-16T21:51:14.376253+00:00,2026-06-16T22:00:24.832822+00:00,2026-06-16T22:02:46.298865+00:00,550,141,691,success
4,v3_4303,f03_windows,GithubActions,2,v2_4302,2026-06-16T21:51:13.245189+00:00,2026-06-16T21:58:53.300921+00:00,2026-06-16T22:18:43.595801+00:00,460,1190,1650,success
4,v3_4304,f03_windows,GithubActions,2,v2_4302,2026-06-16T21:51:13.523529+00:00,2026-06-16T21:58:53.380775+00:00,2026-06-16T22:18:43.646903+00:00,459,1190,1650,success
4,v4_4304,f04_targets,GithubActions,2,v3_4303,2026-06-16T21:51:14.651235+00:00,2026-06-16T22:18:55.797409+00:00,2026-06-16T22:22:29.082026+00:00,1661,213,1874,failed
4,v4_4305,f04_targets,GithubActions,2,v3_4304,2026-06-16T21:51:14.931402+00:00,2026-06-16T22:27:55.762863+00:00,2026-06-16T22:30:57.687062+00:00,2200,181,2382,failed
4,v4_4306,f04_targets,GithubActions,2,v3_4304,2026-06-16T21:51:15.202733+00:00,2026-06-16T22:27:57.744635+00:00,2026-06-16T22:30:57.831364+00:00,2202,180,2382,failed
3,v7_3401,f07_modval,ESP32-v2,0,v6_0001,2026-06-17T14:21:08.602389+00:00,2026-06-17T14:21:27.113011+00:00,2026-06-17T14:28:40.676821+00:00,18,433,452,success
3,v7_3601,f07_modval,ESP32-v4-virtual,0,v6_0001,2026-06-17T14:30:53.331539+00:00,2026-06-17T14:31:12.235765+00:00,2026-06-17T14:38:16.978496+00:00,18,424,443,success
3,v7_3303,f07_modval,ESP32-v1,0,v6_0001,2026-06-17T19:55:21.653274+00:00,2026-06-17T19:55:40.097507+00:00,2026-06-18T07:11:32.475859+00:00,18,40552,40570,success
3,v7_3503,f07_modval,ESP32-v3-virtual,0,v6_0001,2026-06-17T19:55:27.639431+00:00,2026-06-17T19:55:58.283691+00:00,2026-06-18T07:11:32.529194+00:00,30,40534,40564,failed
3,v7_3501,f07_modval,ESP32-v3-virtual,0,v6_0001,2026-06-18T08:42:30.691694+00:00,2026-06-18T08:42:40.644590+00:00,2026-06-18T10:33:39.288507+00:00,9,6658,6668,success
